method,number,orbital_period,mass,distance,year
Radial Velocity,1,589.64,2.9,10.34,2006
Radial Velocity,1,358.0,0.64,32.62,2009
Radial Velocity,2,572.4,1.26,35.59,2003
Radial Velocity,2,152.6,0.17,35.59,2011
Radial Velocity,1,480.5,6.0,80.06,2012
Radial Velocity,1,1973.0,2.82,55.04,2005
Radial Velocity,1,6.276,1.9,58.82,2001
Radial Velocity,3,8.667,0.033,12.58,2006
Radial Velocity,3,31.56,0.038,12.58,2006
Radial Velocity,3,197.0,0.058,12.58,2006
Radial Velocity,1,851.8,6.1,,2007
Radial Velocity,1,2231.0,2.0,28.76,2003
Radial Velocity,1,3383.0,3.15,51.36,2002
Radial Velocity,1,1260.0,3.06,53.05,2008
Radial Velocity,1,2.54858,1.87,36.52,2003
Radial Velocity,2,188.9,2.25,94.61,2002
Radial Velocity,2,379.1,2.25,94.61,2005
Radial Velocity,1,1800.0,1.15,96.99,2008
Radial Velocity,3,51.645,1.8,64.56,2003
Radial Velocity,3,2473.0,8.06,64.56,2003
Radial Velocity,3,346.6,0.396,64.56,2007
Radial Velocity,1,3.51,0.42,28.94,1999
Radial Velocity,1,418.2,2.51,80.58,2007
Radial Velocity,1,3.971,0.197,59.7,2002
Radial Velocity,1,5.7361,,41.27,2012
Radial Velocity,1,1966.1,1.34,48.64,2011
Radial Velocity,1,111.4357,,29.04,2001
Radial Velocity,1,1001.7,6.86,32.56,2005
Radial Velocity,1,184.02,2.7,88.26,2007
Radial Velocity,2,441.47,,27.46,2003
Radial Velocity,2,220.078,,27.46,2003
Radial Velocity,1,705.0,1.3,112.23,2011
Radial Velocity,1,2.985625,0.4,43.53,2002
Radial Velocity,1,788.0,0.132,33.96,2009
Radial Velocity,1,58.43,0.01133,11.15,2011
Radial Velocity,1,2.1375,1.5,91.16,2006
Radial Velocity,1,1695.0,0.92,42.48,2009
Radial Velocity,1,1475.0,7.0,72.57,2009
Radial Velocity,1,2754.0,1.78,18.06,2009
Radial Velocity,1,3.416,0.22,74.46,2004
Radial Velocity,1,2157.0,1.78,30.88,2009
Radial Velocity,1,256.78,8.44,38.99,1999
Radial Velocity,1,49.77,0.057,22.09,2009
Radial Velocity,1,325.81,3.86,32.32,2000
Radial Velocity,1,143.58,0.37,28.9,2005
Radial Velocity,2,13.186,0.0263,42.52,2011
Radial Velocity,2,46.025,0.0318,42.52,2011
Imaging,1,,,91.57,2013
Radial Velocity,1,507.0,1.2,149.03,2009
Radial Velocity,1,361.1,0.9,132.8,2011
Radial Velocity,1,498.9,0.68,84.03,2009
Radial Velocity,1,647.3,4.0,221.24,2011
Radial Velocity,2,8.1256,0.0284,26.21,2011
Radial Velocity,2,103.49,0.04,26.21,2011
Radial Velocity,1,9.494,0.026,21.3,2010
Radial Velocity,1,436.9,1.8,150.38,2011
Radial Velocity,1,4951.0,6.8,42.77,2012
Radial Velocity,1,439.3,0.502,60.46,2005
Radial Velocity,2,17.054,0.087,17.99,2004
Radial Velocity,2,4970.0,0.36,17.99,2010
Radial Velocity,1,868.0,1.4,130.89,2011
Radial Velocity,1,157.57,1.7,140.85,2011
Radial Velocity,1,383.7,1.16,52.8,2007
Radial Velocity,1,70.46,0.3,30.5,2005
Radial Velocity,1,20.8133,0.172,42.0,2005
Radial Velocity,1,4.113775,0.45,28.98,2006
Radial Velocity,2,127.58,5.9,164.2,2008
Radial Velocity,2,520.0,2.6,164.2,2008
Radial Velocity,1,122.1,0.05,9.24,2010
Radial Velocity,1,778.1,5.9,138.5,2011
Radial Velocity,1,6.495,0.96,121.07,2010
Radial Velocity,1,47.84,0.098,49.33,2009
Radial Velocity,1,5.8881,0.367,53.08,2013
Radial Velocity,1,55.806,0.186,20.82,2009
Radial Velocity,1,199.505,8.3,102.04,2003
Radial Velocity,1,1531.0,6.92,37.44,2002
Radial Velocity,1,2890.0,11.0,87.87,2011
Radial Velocity,1,3630.0,9.61,36.36,2012
Imaging,1,,,91.83,2013
Radial Velocity,1,48.056,0.21,51.26,2005
Radial Velocity,1,10.8985,0.261,38.56,2002
Radial Velocity,1,443.4,2.6,138.5,2011
Radial Velocity,2,395.8,1.29,68.54,2002
Radial Velocity,2,1624.0,0.99,68.54,2005
Radial Velocity,1,68.27,0.77,65.62,2010
Radial Velocity,2,7.8543,0.054,56.92,2013
Radial Velocity,2,30.93,0.076,56.92,2013
Radial Velocity,1,5.24,0.28,59.03,2005
Radial Velocity,1,835.477,11.09,97.66,2009
Radial Velocity,1,1143.0,6.8,28.88,2003
Radial Velocity,1,324.0,2.83,37.42,2013
Radial Velocity,2,263.3,0.27,15.71,2010
Radial Velocity,2,1657.0,0.71,15.71,2010
Radial Velocity,2,937.7,1.24,28.04,2003
Radial Velocity,2,1046.0,,28.04,2011
Radial Velocity,1,3827.0,0.48,20.48,2014
Radial Velocity,1,83.888,11.68,40.57,1989
Radial Velocity,1,493.7,1.1,20.43,2001
Radial Velocity,1,1114.0,0.95,35.0,2002
Radial Velocity,1,670.0,2.1,110.62,2011
Radial Velocity,1,2597.0,1.88,33.01,2004
Radial Velocity,1,25.827,0.178,38.02,2004
Radial Velocity,1,6.1335,2.13,88.57,2005
Radial Velocity,1,2082.0,4.5,97.66,2013
Radial Velocity,1,63.33,1.22,44.37,2003
Radial Velocity,1,344.95,3.71,133.16,2003
Radial Velocity,3,559.4,3.0,52.83,2007
Radial Velocity,3,4.1547,0.058,52.83,2009
Radial Velocity,3,3008.0,7.2,52.83,2009
Radial Velocity,1,9.6737,0.041,27.45,2009
Radial Velocity,1,1244.0,0.38,68.35,2009
Radial Velocity,1,948.12,0.224,38.05,2011
Radial Velocity,2,454.2,1.45,16.57,2002
Radial Velocity,2,923.8,3.24,16.57,2005
Radial Velocity,1,1840.0,1.6,67.61,2009
Radial Velocity,1,10.7085,1.04,29.76,1999
Radial Velocity,1,883.0,2.2,121.36,2011
Radial Velocity,1,1951.0,18.15,57.21,2008
Radial Velocity,1,974.0,5.61,70.97,2007
Radial Velocity,1,1544.0,1.49,98.52,2011
Radial Velocity,2,3.27,0.0351,24.15,2011
Radial Velocity,2,1160.9,0.1507,24.15,2011
Radial Velocity,2,258.19,1.59,25.65,1999
Radial Velocity,2,5000.0,0.82,25.65,2009
Radial Velocity,3,12.083,0.0292,26.91,2011
Radial Velocity,3,59.519,0.0382,26.91,2011
Radial Velocity,3,459.26,0.121,26.91,2011
Radial Velocity,1,464.3,2.0,106.38,2009
Radial Velocity,3,11.577,0.0166,14.56,2011
Radial Velocity,3,27.582,0.0358,14.56,2011
Radial Velocity,3,106.72,0.03,14.56,2011
Radial Velocity,1,330.0,0.223,38.45,2011
Radial Velocity,1,1125.7,9.76,121.36,2008
Radial Velocity,1,653.22,9.7,33.46,2002
Radial Velocity,1,1928.0,5.1,35.87,2005
Radial Velocity,1,1299.0,1.9,106.38,2011
Radial Velocity,1,386.3,1.62,34.57,2003
Radial Velocity,1,1057.0,3.12,59.35,2008
Radial Velocity,1,176.3,2.9,126.1,2010
Radial Velocity,1,103.95,5.76,55.19,2008
Radial Velocity,2,44.236,2.12,42.68,2009
Radial Velocity,2,1008.0,6.56,42.68,2009
Radial Velocity,1,528.4,1.21,12.87,2003
Radial Velocity,1,1027.0,0.85,53.05,2009
Radial Velocity,1,331.5,0.96,59.28,2009
Radial Velocity,1,2.8758911,,78.86,2005
Radial Velocity,1,4.072,1.33,63.49,2005
Radial Velocity,1,2.391,15.5,76.51,2009
Radial Velocity,1,1096.2,0.168,29.55,2011
Radial Velocity,1,2097.0,3.0,85.18,2009
Radial Velocity,1,689.0,1.5,182.82,2011
Radial Velocity,1,499.4,2.73,51.87,2008
Radial Velocity,1,18.596,0.0193,18.08,2011
Radial Velocity,1,3342.0,0.947,18.06,2006
Radial Velocity,1,163.9,5.02,65.79,2008
Radial Velocity,2,408.6,2.24,68.54,2004
Radial Velocity,2,3452.0,2.58,68.54,2014
Radial Velocity,2,194.3,0.85,43.4,2007
Radial Velocity,2,391.9,0.82,43.4,2007
Radial Velocity,1,131.05,9.71,35.37,2011
Radial Velocity,1,842.0,0.75,55.1,2009
Radial Velocity,1,4.6455,0.013,24.05,2010
Radial Velocity,1,359.5546,10.57,49.0,2007
Radial Velocity,1,104.84,0.12,33.48,2011
Radial Velocity,1,521.0,1.8,114.15,2011
Radial Velocity,2,12.62,1.13,68.59,2013
Radial Velocity,2,248.4,1.9,68.59,2013
Radial Velocity,2,1178.4,2.1,52.72,2006
Radial Velocity,2,352.3,0.73,52.72,2012
Radial Velocity,4,643.25,,15.28,2000
Radial Velocity,4,4205.8,1.814,15.28,2004
Radial Velocity,4,9.6386,,15.28,2004
Radial Velocity,4,310.55,,15.28,2006
Radial Velocity,1,8.428198,14.4,31.26,2002
Radial Velocity,2,75.29,0.77,69.44,2010
Radial Velocity,2,1314.0,2.29,69.44,2010
Radial Velocity,1,282.4,0.48,51.81,2010
Radial Velocity,1,606.4,2.7,37.98,2009
Radial Velocity,1,1155.0,0.36,21.92,2005
Radial Velocity,1,5144.0,3.53,42.99,2012
Radial Velocity,1,420.77,1.7,50.0,2007
Radial Velocity,2,58.11289,8.02,37.88,1998
Radial Velocity,2,1749.5,18.1,37.88,2000
Radial Velocity,1,6.403,0.23,43.12,2002
Radial Velocity,2,225.62,2.88,36.32,2000
Radial Velocity,2,2102.0,4.04,36.32,2003
Radial Velocity,1,1145.0,0.67,64.98,2007
Radial Velocity,1,538.0,1.83,,2007
Radial Velocity,1,1523.0,2.6,44.05,2009
Radial Velocity,1,323.6,2.7,134.95,2008
Radial Velocity,1,1290.0,7.8,67.02,2009
Radial Velocity,1,297.3,0.61,127.55,2007
Astrometry,1,1016.0,,14.98,2010
Radial Velocity,2,406.6,1.49,59.03,1999
Radial Velocity,2,110.9,0.15,59.03,2010
Radial Velocity,1,71.484,7.03,46.73,2001
Radial Velocity,1,14.476,0.08,63.69,2008
Radial Velocity,1,3.0925,0.95,27.05,2000
Radial Velocity,1,396.03,,131.75,2010
Radial Velocity,1,479.0,1.6,114.55,2009
Radial Velocity,1,663.0,3.3,115.47,2009
Radial Velocity,3,9.3743,0.0238,26.15,2008
Radial Velocity,3,962.0,0.64,26.15,2008
Radial Velocity,3,2172.0,0.54,26.15,2008
Radial Velocity,1,956.0,0.37,55.93,2009
Radial Velocity,2,634.23,3.69,52.83,2004
Radial Velocity,2,2950.0,3.82,52.83,2008
Radial Velocity,1,6.838,0.94,47.37,2006
Radial Velocity,1,986.0,0.75,44.98,2006
Radial Velocity,2,3.097,0.52,47.92,1998
Radial Velocity,2,3810.0,1.99,47.92,1999
Radial Velocity,1,456.46,1.26,52.63,2004
Radial Velocity,1,14.275,0.0316,17.72,2011
Radial Velocity,1,2.21857578,,19.25,2005
Radial Velocity,1,1136.1,5.93,62.11,2002
Radial Velocity,2,2891.0,1.502,15.89,2003
Radial Velocity,2,17.1,0.057,15.89,2005
Radial Velocity,1,1038.1,1.9,54.23,2007
Radial Velocity,1,4885.0,3.1,189.39,2009
Radial Velocity,1,24.348,0.72,19.89,1999
Radial Velocity,2,74.72,0.05318,8.82,2011
Radial Velocity,2,525.8,0.07552,8.82,2011
Radial Velocity,1,351.5,2.5,67.39,2007
Radial Velocity,1,18.20163,3.7,37.35,1999
Radial Velocity,1,1289.0,3.0,46.93,2002
Radial Velocity,1,3638.0,6.9,43.57,2012
Radial Velocity,1,1333.0,2.58,32.99,2007
Radial Velocity,1,1035.7,0.79,32.83,2011
Radial Velocity,2,613.8,1.85,68.35,2010
Radial Velocity,2,825.0,0.895,68.35,2010
Radial Velocity,2,255.87,17.4,46.34,2002
Radial Velocity,2,1383.4,2.44,46.34,2004
